color,X,Y
blue,32.33072448826581,5.021540863335705
blue,31.13740904105186,2.295753073130628
blue,29.77375783371357,-0.34868574343329617
blue,28.224657082132335,-2.888790371512239
blue,26.49846325499378,-5.311989156048963
blue,24.62190792506382,-7.620772620227692
blue,22.62868820711673,-9.829944406536693
blue,20.535768061459695,-11.945089074068564
blue,18.34589544522223,-13.959235442406312
blue,16.03370341404942,-15.831306799065477
blue,13.572802074305544,-17.50059546813287
blue,10.91441802433232,-18.8298571595243
blue,8.029785896432074,-19.49902897631336
blue,5.130438463170808,-19.044252811487116
blue,2.772401845442276,-17.281038955754806
blue,1.2130654785237382,-14.753949636990038
blue,0.09435199278939545,-12.00008278782812
blue,-0.6939642969833294,-9.132820259872343
blue,-1.1815402095108278,-6.198275077716054
blue,-1.4216450107653842,-3.23258448040676
blue,-1.4968612851365841,-0.25786682022398993
blue,-1.4945986028313336,2.717990491175997
blue,-1.5026782230368445,5.693816099566876
blue,-1.6117282502865258,8.667307756386796
blue,-1.9130047503767662,11.626828713668967
blue,-2.486162235480201,14.545181929474024
blue,-3.2672503687779573,17.41642534341521
blue,-4.021457597364343,20.29453623570738
blue,-4.502823930518689,23.227740596502255
blue,-4.418274422924169,26.195994283110856
blue,-3.543240497882567,29.032242745438207
blue,-2.1666247109451926,31.66664468332668
blue,-0.5839380405198472,34.186497173958834
blue,1.005767950486615,36.70216349568684
blue,2.5687454504231892,39.234547486837485
blue,4.120111068174024,41.77407084229757
blue,5.676305861859384,44.31063446065389
blue,7.254388841020386,46.833626052808846
blue,8.870759744693638,49.33223400960413
blue,10.576010449531392,51.77024530662894
blue,12.481708959365674,54.05388144921041
blue,14.588907546658884,56.1526441603052
blue,16.890828061440313,58.036335937802036
blue,19.393939335191106,59.64279827262878
blue,22.07588188532968,60.92511420959045
blue,24.90700141721113,61.82808644476243
blue,27.84321163524075,62.292322848485654
blue,30.816048402317335,62.25527321454173
blue,33.764377937770675,61.86625904193608
blue,36.677444333266095,61.26019257538283
blue,39.57007368699407,60.561207476460865
blue,42.475941513600475,59.92103386692096
blue,45.42626085841579,59.55364111673802
blue,48.34152045489304,60.02079212649861
blue,50.69146814713454,61.8043865672441
blue,52.414487784810994,64.22361856977983
blue,53.79267380934109,66.85994440800695
blue,55.00988783137046,69.57533561823074
blue,56.17187406493668,72.31498866854768
blue,57.36148983107095,75.04264374805742
blue,58.63725476762829,77.73086170907443
blue,60.0817667172558,80.33178041005141
blue,61.750989286531656,82.79259597895819
blue,63.700642189525794,85.03732834474259
blue,66.00125190596663,86.9190615073241
blue,68.58162720640394,88.38980660380084
blue,71.3698397920744,89.41766529565176
blue,74.29765936934335,89.92940459480066
blue,77.26749185446963,89.92656628445145
blue,80.19381318311454,89.4145785569303
blue,82.96852701853116,88.35133317094783
blue,85.5169909135394,86.82644467277198
blue,87.77277991147871,84.89201231163766
blue,89.59957674424739,82.55192223382052
blue,90.87785735367187,79.87675867013078
blue,91.3111807747766,76.94605941585593
blue,91.11963924379188,73.97878002221024
blue,91.04828370287879,71.00420057402188
blue,91.04448786290581,68.02832912224393
blue,90.97884927342596,65.05352643137559
blue,90.71605156830778,62.0902583163175
blue,90.07485733729041,59.187032126755234
blue,88.88353477030894,56.46789435289331
blue,87.11579187145277,54.08367428073095
blue,84.94779153781893,52.05142599080353
blue,82.54867269999885,50.29349405679289
blue,80.0280795620601,48.71224361104356
blue,77.45480004364784,47.21758342219234
blue,74.8853530746953,45.71641528090084
blue,72.37259328221425,44.123187147333006
blue,69.99270096689608,42.33999845915196
blue,67.8778616260958,40.253767947714806
blue,66.24481517328783,37.77795558586548
blue,65.18897909525796,34.99893041438641
blue,63.77562830718446,32.39685655287096
blue,61.67300129237163,30.31152842287283
blue,59.125574521723934,28.784381231975317
blue,56.363493516807566,27.680978393333007
blue,53.515322839611706,26.820265735497355
blue,50.64176169697132,26.046744787396758
blue,47.778137476911965,25.238044426213055
blue,44.97131155434983,24.25264758136845
blue,42.328865310896326,22.893109197892286
blue,40.05377782340889,20.986934316721847
blue,38.21613403584632,18.652837599421918
blue,36.73837761315684,16.072695685960205
blue,35.50894673432503,13.363681296646638
blue,34.424832001473405,10.592518943815023
blue,33.3953890777728,7.800363491371386
yellow,29.54441142037033,6.1336632361146455
yellow,28.336789351682445,3.3932011615480095
yellow,26.94156031456807,0.7437322796425355
yellow,25.34554017856626,-1.789627564805515
yellow,23.56418058026131,-4.1964132870758615
yellow,21.63191449660354,-6.484231953605143
yellow,19.58229520441387,-8.667927276890063
yellow,17.42951055414916,-10.749651990995066
yellow,15.169231470412011,-12.713915640819584
yellow,12.748421539338683,-14.47538570612213
yellow,10.121314073390883,-15.901931822638792
yellow,7.223518434807149,-16.509536333400373
yellow,4.801935617051908,-14.953676333069188
yellow,3.4089049504625852,-12.312997065980166
yellow,2.4724753484465474,-9.471499523875778
yellow,1.8944058752354165,-6.534997540318135
yellow,1.6042476446711342,-3.555136098142645
yellow,1.507220870943617,-0.561964816492327
yellow,1.504131896963546,2.4331599190778075
yellow,1.500232295866828,5.42828861499079
yellow,1.4071821666861282,8.421639661431943
