color,X,Y
blue,-1.5069,-0.354609
blue,-1.50688,-0.327739
blue,-1.50686,-0.300869
blue,-1.50684,-0.273999
blue,-1.50682,-0.247128
blue,-1.50679,-0.220258
blue,-1.50676,-0.193388
blue,-1.50673,-0.166517
blue,-1.5067,-0.139647
blue,-1.50667,-0.112776
blue,-1.50663,-0.0859059
blue,-1.5066,-0.0590354
blue,-1.50656,-0.0321649
blue,-1.50652,-0.00529429
blue,-1.50648,0.0215763
blue,-1.50644,0.048447
blue,-1.50639,0.0753176
blue,-1.50635,0.102188
blue,-1.5063,0.129059
blue,-1.50626,0.15593
blue,-1.50621,0.1828
blue,-1.50616,0.209671
blue,-1.50611,0.236542
blue,-1.50606,0.263413
blue,-1.50601,0.290284
blue,-1.50596,0.317154
blue,-1.50591,0.344025
blue,-1.50586,0.370896
blue,-1.50581,0.397767
blue,-1.50576,0.424638
blue,-1.50571,0.451509
blue,-1.50566,0.478379
blue,-1.50561,0.50525
blue,-1.50556,0.532121
blue,-1.50551,0.558992
blue,-1.50546,0.585863
blue,-1.50541,0.612734
blue,-1.50537,0.639603
blue,-1.50532,0.666472
blue,-1.50527,0.693341
blue,-1.50523,0.720209
blue,-1.50518,0.747078
blue,-1.50514,0.773947
blue,-1.50509,0.800816
blue,-1.50505,0.827684
blue,-1.505,0.854553
blue,-1.50496,0.881422
blue,-1.50492,0.90829
blue,-1.50487,0.935159
blue,-1.50483,0.962028
blue,-1.50479,0.988897
blue,-1.50475,1.01577
blue,-1.50471,1.04263
blue,-1.50467,1.0695
blue,-1.50463,1.09637
blue,-1.50458,1.12324
blue,-1.50454,1.15011
blue,-1.5045,1.17698
blue,-1.50446,1.20385
blue,-1.50442,1.23072
blue,-1.50438,1.25758
blue,-1.50434,1.28445
blue,-1.5043,1.31132
blue,-1.50426,1.33819
blue,-1.50422,1.36506
blue,-1.50418,1.39193
blue,-1.50414,1.4188
blue,-1.50409,1.44566
blue,-1.50405,1.47253
blue,-1.50401,1.4994
blue,-1.50397,1.52627
blue,-1.50393,1.55314
blue,-1.50388,1.58001
blue,-1.50384,1.60688
blue,-1.5038,1.63375
blue,-1.50375,1.66061
blue,-1.50371,1.68748
blue,-1.50366,1.71435
blue,-1.50362,1.74122
blue,-1.50357,1.76809
blue,-1.50353,1.79496
blue,-1.50348,1.82183
blue,-1.50343,1.8487
blue,-1.50338,1.87556
blue,-1.50333,1.90243
blue,-1.50328,1.9293
blue,-1.50323,1.95617
blue,-1.50318,1.98304
blue,-1.50313,2.00991
blue,-1.50308,2.03678
blue,-1.50302,2.06365
blue,-1.50297,2.09052
blue,-1.50291,2.11738
blue,-1.50285,2.14425
blue,-1.5028,2.17112
blue,-1.50274,2.19799
blue,-1.50268,2.22486
blue,-1.50262,2.25173
blue,-1.50255,2.2786
blue,-1.50249,2.30547
blue,-1.50243,2.33233
blue,-1.50236,2.3592
blue,-1.5023,2.38607
blue,-1.50223,2.41294
blue,-1.50216,2.43981
blue,-1.50209,2.46668
blue,-1.50202,2.49355
blue,-1.50194,2.52042
blue,-1.50187,2.54729
blue,-1.50179,2.57415
blue,-1.50171,2.60102
blue,-1.50164,2.62789
blue,-1.50156,2.65476
blue,-1.50147,2.68163
blue,-1.50139,2.7085
blue,-1.5013,2.73537
blue,-1.50122,2.76224
blue,-1.50113,2.78911
blue,-1.50104,2.81598
blue,-1.50095,2.84284
blue,-1.50085,2.86971
blue,-1.50076,2.89658
blue,-1.50066,2.92345
blue,-1.50056,2.95032
blue,-1.50046,2.97719
blue,-1.50036,3.00406
blue,-1.50025,3.03093
blue,-1.50015,3.0578
blue,-1.50004,3.08467
blue,-1.49993,3.11153
blue,-1.49982,3.1384
blue,-1.4997,3.16527
blue,-1.49959,3.19214
blue,-1.49947,3.21901
blue,-1.49935,3.24588
blue,-1.49922,3.27275
blue,-1.4991,3.29962
blue,-1.49897,3.32649
blue,-1.49884,3.35336
blue,-1.49871,3.38023
blue,-1.49857,3.4071
blue,-1.49844,3.43396
blue,-1.4983,3.46083
blue,-1.49816,3.4877
blue,-1.49801,3.51457
blue,-1.49787,3.54144
blue,-1.49772,3.56831
blue,-1.49757,3.59518
blue,-1.49741,3.62205
blue,-1.49726,3.64892
blue,-1.4971,3.67579
blue,-1.49694,3.70265
blue,-1.49677,3.72952
blue,-1.4966,3.75639
blue,-1.49643,3.78326
blue,-1.49626,3.81013
blue,-1.49608,3.837
blue,-1.49591,3.86386
blue,-1.49572,3.89073
blue,-1.49554,3.9176
blue,-1.49535,3.94447
blue,-1.49516,3.97134
blue,-1.49496,3.99821
blue,-1.49477,4.02507
blue,-1.49457,4.05194
blue,-1.49436,4.07881
blue,-1.49415,4.10568
blue,-1.49394,4.13255
blue,-1.49373,4.15942
blue,-1.49351,4.18628
blue,-1.49329,4.21315
blue,-1.49306,4.24002
blue,-1.49283,4.26689
blue,-1.4926,4.29376
blue,-1.49236,4.32062
blue,-1.49212,4.34749
blue,-1.49188,4.37436
