color,X,Y
blue,11.0326,-18.788
blue,10.8825,-18.8463
blue,10.732,-18.9025
blue,10.5807,-18.9569
blue,10.4287,-19.0093
blue,10.2759,-19.0595
blue,10.1224,-19.1076
blue,9.96826,-19.1534
blue,9.81344,-19.1968
blue,9.658,-19.2378
blue,9.50196,-19.2762
blue,9.34536,-19.312
blue,9.18822,-19.3451
blue,9.03057,-19.3754
blue,8.87245,-19.4027
blue,8.71387,-19.4271
blue,8.55488,-19.4484
blue,8.39549,-19.4665
blue,8.23574,-19.4813
blue,8.07566,-19.4928
blue,7.91492,-19.5008
blue,7.75375,-19.5054
blue,7.59248,-19.5064
blue,7.43121,-19.5038
blue,7.27006,-19.4975
blue,7.10916,-19.4875
blue,6.9486,-19.4739
blue,6.78851,-19.4565
blue,6.62901,-19.4352
blue,6.4702,-19.4102
blue,6.3122,-19.3813
blue,6.15513,-19.3484
blue,5.9991,-19.3116
blue,5.84423,-19.2708
blue,5.69063,-19.226
blue,5.53842,-19.1771
blue,5.38771,-19.1241
blue,5.23862,-19.0669
blue,5.09118,-19.0056
blue,4.9454,-18.94
blue,4.80151,-18.8702
blue,4.65954,-18.7966
blue,4.51954,-18.719
blue,4.38156,-18.6377
blue,4.24564,-18.5528
blue,4.11184,-18.4643
blue,3.98019,-18.3725
blue,3.85076,-18.2773
blue,3.72357,-18.1789
blue,3.59869,-18.0774
blue,3.47615,-17.9729
blue,3.35601,-17.8656
blue,3.23831,-17.7555
blue,3.1231,-17.6427
blue,3.01042,-17.5274
blue,2.90032,-17.4097
blue,2.79285,-17.2897
blue,2.68855,-17.168
blue,2.58683,-17.0443
blue,2.48762,-16.9186
blue,2.39083,-16.791
blue,2.29638,-16.6616
blue,2.20419,-16.5304
blue,2.1142,-16.3976
blue,2.02631,-16.2633
blue,1.94046,-16.1276
blue,1.85656,-15.9905
blue,1.77454,-15.8522
blue,1.69432,-15.7128
blue,1.61582,-15.5722
blue,1.53897,-15.4307
blue,1.46369,-15.2884
blue,1.38989,-15.1452
blue,1.31751,-15.0014
blue,1.24646,-14.857
blue,1.17658,-14.7119
blue,1.10776,-14.566
blue,1.04013,-14.4197
blue,0.973672,-14.2731
blue,0.908364,-14.1259
blue,0.84419,-13.9784
blue,0.781131,-13.8305
blue,0.719167,-13.6823
blue,0.658281,-13.5336
blue,0.598453,-13.3846
blue,0.539665,-13.2353
blue,0.481897,-13.0856
blue,0.425131,-12.9355
blue,0.369348,-12.7852
blue,0.314529,-12.6345
blue,0.260655,-12.4835
blue,0.207708,-12.3322
blue,0.155668,-12.1806
blue,0.104517,-12.0288
blue,0.0541139,-11.8763
blue,0.00455216,-11.7234
blue,-0.0441347,-11.5703
blue,-0.0919449,-11.4169
blue,-0.138877,-11.2633
blue,-0.184928,-11.1094
blue,-0.230097,-10.9552
blue,-0.274382,-10.8008
blue,-0.317782,-10.6462
blue,-0.360293,-10.4913
blue,-0.401916,-10.3362
blue,-0.442647,-10.1808
blue,-0.482484,-10.0252
blue,-0.521427,-9.86943
blue,-0.559473,-9.7134
blue,-0.59662,-9.55715
blue,-0.632867,-9.40068
blue,-0.668212,-9.244
blue,-0.702648,-9.08713
blue,-0.736171,-8.93011
blue,-0.768801,-8.77289
blue,-0.800546,-8.61548
blue,-0.831418,-8.45788
blue,-0.861423,-8.3001
blue,-0.890571,-8.14216
blue,-0.918871,-7.98405
blue,-0.946332,-7.82578
blue,-0.972963,-7.66736
blue,-0.998774,-7.5088
blue,-1.02377,-7.3501
blue,-1.04797,-7.19128
blue,-1.07137,-7.03233
blue,-1.09399,-6.87326
blue,-1.11583,-6.71408
blue,-1.1369,-6.5548
blue,-1.15722,-6.39543
blue,-1.17678,-6.23597
blue,-1.19561,-6.07642
blue,-1.21371,-5.9168
blue,-1.2311,-5.75711
blue,-1.24778,-5.59734
blue,-1.26379,-5.43751
blue,-1.27911,-5.27761
blue,-1.29379,-5.11765
blue,-1.30781,-4.95764
blue,-1.32121,-4.79757
blue,-1.33399,-4.63745
blue,-1.34617,-4.47728
blue,-1.35776,-4.31707
blue,-1.36877,-4.15681
blue,-1.37922,-3.99652
blue,-1.38913,-3.8362
blue,-1.3985,-3.67585
blue,-1.40735,-3.51547
blue,-1.41569,-3.35506
blue,-1.42355,-3.19463
blue,-1.43092,-3.03416
blue,-1.43783,-2.87367
blue,-1.44429,-2.71316
blue,-1.45032,-2.55264
blue,-1.45592,-2.39211
blue,-1.46111,-2.23156
blue,-1.4659,-2.07101
blue,-1.47032,-1.91044
blue,-1.47436,-1.74986
blue,-1.47806,-1.58928
blue,-1.48141,-1.42868
blue,-1.48443,-1.26808
blue,-1.48715,-1.10747
blue,-1.48956,-0.946862
blue,-1.49169,-0.786247
blue,-1.49355,-0.625629
blue,-1.49515,-0.465009
blue,-1.49651,-0.304388
blue,-1.49764,-0.14376
blue,-1.49856,0.0168721
blue,-1.49927,0.177503
blue,-1.49979,0.338135
blue,-1.50014,0.498765
blue,-1.50033,0.659396
blue,-1.50037,0.820026
blue,-1.50028,0.980656
blue,-1.50007,1.14129
blue,-1.49976,1.30192
blue,-1.49935,1.46255
blue,-1.49887,1.62317
blue,-1.49832,1.7838
blue,-1.49772,1.94443
blue,-1.49709,2.10506
blue,-1.49643,2.26569
blue,-1.49577,2.42632
